backbone,struct,DUC,dataset,addDPG,kps,validBatch,trainBatch,optMethod,freeze_bn,freeze,sparse,sparse_decay,nEpochs,LR,hmGauss,ratio,momentum,weightDecay,loadModel,save_interval
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,1,,,100,0.00025,1,3,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
,,,,,,,,,,,,,,,,,,,,
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,1,,,100,0.00025,1,4,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,sgd,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,FALSE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.5,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,0.8,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,adam,TRUE,1,,,100,0.00025,1,4,0,1.00E-04,pretrained/mobile_13/86/86_best_acc.pkl,20
,,,,,,,,,,,,,,,,,,,,
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,rmsprop,TRUE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,FALSE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,sgd,TRUE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,FALSE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,FALSE,13,64,64,adam,TRUE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.5,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,0.8,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
mobilenet,0,0,underwater,TRUE,13,64,64,rmsprop,FALSE,1,,,100,0.00025,2,3,0,0,pretrained/mobile_13/86/86_best_acc.pkl,20
